"Content-Type: text/plain; charset=utf-8
";OPUIC;Stop name;Station abbreviation;LOCALITYNAME;MUNICIPALITY NAME;BFS Nummer Gemeinde;DISTRICT NAME;BFS Nummer Bezirk;CANTON NAME;CANTON ABBREVIATION;CANTON NO.;COUNTRY_ISO2_GEO;OP_TYPE_DESIGNATION_DE;OP_OPERATING_POINT_TYPE_ID;OPOF_TYPE_DESIGNATION_DE;OPOF_OPERATING_POINT_TYPE_ID;OPTF_TYPE_DESIGNATION_DE;Osten LV 95 Format;N_LV95;Z_LV95;Osten LV 03 Format;N_LV03;Z_LV03;Osten WGS84 Format;N_WGS84;Z_WGS84;Verkehrsmitteltext;BO_IDENTIFICATION;tc-number;BO_ABBREVIATION_DE;BO_DESIGNATION_DE;lod;Geopos;IS_STOP;IS_BEDIENPUNKT;IS_VERKEHRSPUNKT;plz
74257;8574257;St. Gallen, Bleicheli;SGBL;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2745869.0;1254153.0;675.0;745869.0;254153.0;675.0;9.37192873312;47.42201165028;675.0;Bus;100602;801;PAG;PostAuto AG;http://lod.opentransportdata.swiss/didok/8574257;47.422011650271045,9.37192873311662;1;0;1;9000
89603;8589603;St. Gallen, Obere Leimat;;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2746343.0;1255627.0;720.0;746343.0;255627.0;720.0;9.378691473;47.43515965917;720.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8589603;47.435159659158835,9.37869147299852;1;0;1;9010
87343;8587343;St. Gallen, Fürstenlandbrücke;SGFB;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2742610.0;1252505.0;638.0;742610.0;252505.0;638.0;9.3282258435;47.40790787406;638.0;Bus;100695;896;REGO;Regiobus Gossau SG;http://lod.opentransportdata.swiss/didok/8587343;47.40790787404669,9.328225843501064;1;0;1;9014
94350;8594350;St. Gallen, Lindenhof;;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2747445.0;1255409.0;661.0;747445.0;255409.0;661.0;9.39322263747;47.43295353945;661.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8594350;47.43295353943996,9.393222637472578;1;0;1;9000
89553;8589553;St. Gallen, Am Weg;;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2748854.0;1255832.0;663.0;748854.0;255832.0;663.0;9.41203415601;47.43643959426;663.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8589553;47.4364395942486,9.41203415601099;1;0;1;9016
89550;8589550;St. Gallen, Aetschberg;SGAL;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2742856.0;1251994.0;683.0;742856.0;251994.0;683.0;9.33132078045;47.40325986138;683.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8589550;47.403259861363715,9.331320780451255;1;0;1;9014
89623;8589623;St. Gallen, Schoren;;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2744990.0;1254554.0;691.0;744990.0;254554.0;691.0;9.36041359111;47.42581143562;691.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8589623;47.42581143560274,9.360413591114671;1;0;1;9000
89647;8589647;St. Gallen, Winkelriedstrasse;;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2745714.0;1254590.0;700.0;745714.0;254590.0;700.0;9.37001781224;47.42597521777;700.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8589647;47.42597521775353,9.370017812244216;1;0;1;9000
89641;8589641;St. Gallen, Waldacker;;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2744129.0;1253200.0;661.0;744129.0;253200.0;661.0;9.34856902453;47.4138261426;661.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8589641;47.41382614258901,9.348569024526343;1;0;1;9000
89582;8589582;St. Gallen, Haggen;SGHG;St. Gallen;St. Gallen;3203;St. Gallen;1721;St. Gallen;SG;17;CH;;;;;;2743309.0;1252355.0;672.0;743309.0;252355.0;672.0;9.33743596841;47.40640735334;672.0;Bus;100684;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;http://lod.opentransportdata.swiss/didok/8589582;47.40640735333082,9.33743596840856;1;0;1;9014
