AccidentUID;AccidentType;AccidentType_de;AccidentType_fr;AccidentType_it;AccidentType_en;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_fr;AccidentSeverityCategory_it;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_fr;RoadType_it;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentMonth_fr;AccidentMonth_it;AccidentMonth_en;AccidentWeekDay;AccidentWeekDay_de;AccidentWeekDay_fr;AccidentWeekDay_it;AccidentWeekDay_en;AccidentHour;AccidentHour_text
5CC0CF832F640198E0530A83942715F8;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2748083;1256021;47.438312915107666,9.401879723536387;SG;3203;St. Gallen;2017;10;2017-10;Oktober;octobre;Ottobre;01-10-01;aw402;Dienstag;mardi;Martedì;01-01-02;16;16h-17h
5EA7539566F001CCE0530A839427A876;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;false;true;false;rt439;andere;autre;Altro;Other;2747460;1255911;47.43746379938151,9.393587211225071;SG;3203;St. Gallen;2017;10;2017-10;Oktober;octobre;Ottobre;01-10-01;aw405;Freitag;vendredi;Venerdì;01-01-05;16;16h-17h
60A05570770C014AE0530A839427F128;at8;Fussgängerunfall;accident impliquant des piétons;Incidente con pedoni;Accident involving pedestrian(s);as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;true;false;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2745986;1254114;47.421635044775286,9.373466039585319;SG;3203;St. Gallen;2017;10;2017-10;Oktober;octobre;Ottobre;01-10-01;aw406;Samstag;samedi;Sabato;01-01-06;19;19h-20h
E6B834C4D29C023AE0430A839427ECDD;at1;Überholunfall oder Fahrstreifenwechsel;accident lors d'un dépassement ou lors d'un changement de voie de circulation;Incidente di sorpasso o al cambiamento di corsia;Accident when overtaking or changing lanes;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2748233;1255758;47.43591444081142,9.403780230280876;SG;3203;St. Gallen;2013;8;2013-08;August;août;Agosto;01-08-01;aw403;Mittwoch;mercredi;Mercoledì;01-01-03;17;17h-18h
E6BE8CDADC3E01D6E0430A839427DF8E;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2745523;1253624;47.41733179630848,9.367172476537009;SG;3203;St. Gallen;2013;8;2013-08;August;août;Agosto;01-08-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;08;08h-09h
E6BCADD82DEC01A0E0430A8394276510;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2748209;1255977;47.43788892964088,9.403534898068793;SG;3203;St. Gallen;2013;8;2013-08;August;août;Agosto;01-08-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;11;11h-12h
5FAABA2FF875008AE0530A8394278594;at4;Einbiegeunfall;accident en s'engageant sur une route;Incidente nell’immettersi in una strada;Accident when turning-into main road;as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;true;true;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2747380;1255842;47.436861326135705,9.392504264817518;SG;3203;St. Gallen;2017;10;2017-10;Oktober;octobre;Ottobre;01-10-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;16;16h-17h
5EA27D32662900CEE0530A839427C68B;at5;Überqueren der Fahrbahn;accident en traversant une route;Incidente nell'attraversare la carreggiata;Accident when crossing the lane(s);as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2746075;1254180;47.42220872782837,9.374666714825787;SG;3203;St. Gallen;2017;10;2017-10;Oktober;octobre;Ottobre;01-10-01;aw405;Freitag;vendredi;Venerdì;01-01-05;07;07h-08h
E96513F1494A0046E0430A8394273BCE;at3;Abbiegeunfall;accident en quittant une route;Incidente nello svoltare;Accident when turning left or right;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2745451;1253943;47.42021596860375,9.366322544187707;SG;3203;St. Gallen;2013;8;2013-08;August;août;Agosto;01-08-01;aw406;Samstag;samedi;Sabato;01-01-06;04;04h-05h
E6BE6822589B02B2E0430A839427C6CA;at3;Abbiegeunfall;accident en quittant une route;Incidente nello svoltare;Accident when turning left or right;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;true;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2746807;1254801;47.4276294711486,9.384568610122376;SG;3203;St. Gallen;2013;8;2013-08;August;août;Agosto;01-08-01;aw403;Mittwoch;mercredi;Mercoledì;01-01-03;22;22h-23h
